positive,neutral,negative,filename
5.128205128205128,69.23076923076923,25.64102564102564,
0.0,38.46153846153847,61.53846153846154,
2.1739130434782608,63.04347826086957,34.78260869565217,
4.166666666666666,62.5,33.33333333333333,
2.272727272727273,72.72727272727273,25.0,
7.6923076923076925,74.35897435897436,17.94871794871795,
2.2222222222222223,71.11111111111111,26.666666666666668,
2.7027027027027026,35.13513513513514,62.16216216216216,
6.666666666666667,23.333333333333332,70.0,
0.0,65.45454545454545,34.54545454545455,
1.7857142857142856,44.642857142857146,53.57142857142857,
10.0,60.0,30.0,
0.0,60.0,40.0,
0.0,74.07407407407408,25.925925925925924,
6.0606060606060606,69.6969696969697,24.242424242424242,
3.9215686274509802,54.90196078431373,41.17647058823529,
11.538461538461538,38.46153846153847,50.0,
4.081632653061225,67.3469387755102,28.57142857142857,
7.142857142857142,42.857142857142854,50.0,
4.08190798437515,57.2282968350503,38.689795180574556,avg
